city,rate
수원시,0.055
수원시장안구,0.045
수원시권선구,0.052
수원시팔달구,0.124
수원시영통구,0.032
성남시,0.036
성남시수정구,0.077
성남시중원구,0.031
성남시분당구,0.017
의정부시,0.022
안양시,0.026
안양시만안구,0.043
안양시동안구,0.013
부천시,0.056
광명시,0.038
평택시,0.076
동두천시,0.06
안산시,0.13
안산시상록구,0.067
안산시단원구,0.192
고양시,0.025
고양시덕양구,0.023
고양시일산동구,0.029
고양시일산서구,0.023
과천시,0.011
구리시,0.016
남양주시,0.022
오산시,0.08
시흥시,0.117
군포시,0.047
의왕시,0.017
하남시,0.02
용인시,0.032
용인시처인구,0.064
용인시기흥구,0.026
용인시수지구,0.016
파주시,0.045
이천시,0.058
안성시,0.099
김포시,0.073
화성시,0.078
광주시,0.06
양주시,0.058
포천시,0.132
여주시,0.056
연천군,0.044
가평군,0.039
양평군,0.03
